target_count,seed_index,result_index,trial_count,L_BBHT,orca_sw_us,m2_hw_us,m2_vs_orca_speedup
64,88,7786,13,25,5913425,67,88260.07462686567
64,89,10931,10,13,3516432,56,62793.42857142857
64,90,16090,13,12,3586835,69,51983.115942028984
64,91,13048,14,18,4827860,78,61895.64102564102
64,92,5341,3,1,527510,20,26375.5
64,93,13012,10,14,3578298,50,71565.96
64,94,507,13,21,5089355,70,72705.07142857143
64,95,507,20,75,15743072,147,107095.72789115646
64,96,13012,14,21,5225005,70,74642.92857142857
64,97,1801,16,33,7617900,110,69253.63636363637
64,98,491,10,7,2310188,47,49152.936170212764
64,99,5531,6,4,1331153,34,39151.55882352941
256,0,15288,8,7,2141128,44,48662.0
256,1,5849,5,2,901438,28,32194.214285714286
256,2,8081,7,3,1264342,37,34171.40540540541
256,3,16060,9,8,2409147,48,50190.5625
256,4,12680,12,17,4364972,67,65148.835820895525
256,5,7233,10,5,1937118,48,40356.625
256,6,3716,7,7,1985774,68,29202.558823529413
256,7,3545,8,8,2197343,42,52317.69047619047
256,8,11907,10,8,2576812,52,49554.07692307692
256,9,12001,1,0,120596,11,10963.272727272728
256,10,5451,4,2,761916,22,34632.545454545456
256,11,873,12,19,4654424,67,69469.01492537314
256,12,90,5,3,1058808,29,36510.620689655174
256,13,7326,6,5,1546166,32,48317.6875
256,14,1930,6,7,1921685,33,58232.878787878784
256,15,13448,9,3,1502139,44,34139.52272727273
256,16,12329,6,4,1318673,33,39959.78787878788
256,17,6247,7,6,1852938,37,50079.40540540541
256,18,4389,7,4,1406042,34,41354.17647058824
256,19,13749,7,3,1309969,36,36388.02777777778
256,20,6940,9,9,2628934,48,54769.458333333336
256,21,2302,9,4,1711012,50,34220.24
256,22,7844,9,7,2119246,46,46070.565217391304
256,23,6733,5,4,1288953,29,44446.65517241379
256,24,4724,8,10,2583213,42,61505.07142857143
256,25,9555,12,14,3741800,62,60351.6129032258
256,26,6702,9,6,1937254,42,46125.09523809524
256,27,10532,6,4,1350866,32,42214.5625
256,28,314,8,7,2113873,40,52846.825
256,29,14410,7,6,1908645,35,54532.71428571428
256,30,4956,9,7,2156384,47,45880.51063829787
256,31,15859,9,10,2835036,48,59063.25
256,32,11246,10,12,3202559,53,60425.64150943396
256,33,825,8,8,2243068,42,53406.380952380954
256,34,10842,7,5,1695434,37,45822.54054054054
256,35,9972,6,6,1739286,32,54352.6875
256,36,16297,6,3,1266461,34,37248.85294117647
256,37,1456,5,4,1200363,29,41391.8275862069
256,38,11990,6,5,1611406,34,47394.294117647056
256,39,10839,4,2,771407,22,35063.954545454544
256,40,586,5,4,1273459,29,43912.379310344826
256,41,7400,5,4,1226720,29,42300.68965517241
256,42,507,10,8,2502681,54,46345.944444444445
256,43,160,6,3,1095588,30,36519.6
256,44,7400,11,8,2563659,53,48370.92452830189
256,45,8996,6,4,1315315,32,41103.59375
256,46,15586,8,6,1978852,41,48264.68292682927
256,47,56,9,6,2049474,46,44553.782608695656
256,48,10265,11,7,2474277,56,44183.517857142855
256,49,5281,9,6,2117065,43,49234.06976744186
256,50,2160,13,15,3964908,67,59177.73134328358
256,51,6300,5,4,1222509,29,42155.48275862069
256,52,13448,3,1,567443,20,28372.15
256,53,8799,9,7,2257526,46,49076.65217391304
256,54,7615,4,2,767607,23,33374.217391304344
256,55,12785,4,2,823002,24,34291.75
256,56,7780,7,4,1479852,36,41107.0
256,57,9459,7,2,1019618,37,27557.243243243243
256,58,8225,5,4,1279361,30,42645.36666666667
256,59,4389,6,5,1608211,34,47300.32352941176
256,60,11343,9,10,2700238,48,56254.958333333336
256,61,12329,11,17,4341679,56,77529.98214285714
256,62,5666,10,13,3468611,55,63065.65454545455
256,63,14388,10,11,3010124,54,55743.03703703704
256,64,3410,8,4,1555313,40,38882.825
256,65,10195,6,3,1156575,32,36142.96875
256,66,1133,6,2,943251,30,31441.7
256,67,5270,10,10,2861828,51,56114.27450980392
256,68,8996,8,6,1924229,40,48105.725
256,69,15374,7,3,1299870,37,35131.62162162162
256,70,2789,4,3,924247,23,40184.65217391304
256,71,15233,8,6,1943746,40,48593.65
256,72,1859,7,4,1456498,34,42838.17647058824
256,73,9230,7,6,1863957,36,51776.583333333336
256,74,2442,6,2,993743,30,33124.76666666667
256,75,14410,2,1,430116,16,26882.25
256,76,13239,9,10,2691522,48,56073.375
256,77,9230,7,5,1593421,35,45526.31428571429
256,78,3237,2,1,372954,17,21938.470588235294
256,79,11111,2,1,396640,17,23331.764705882353
256,80,8089,10,10,2826907,54,52350.12962962963
256,81,9492,6,4,1307007,31,42161.51612903226
256,82,14992,3,1,564303,21,26871.571428571428
256,83,15859,3,2,723387,20,36169.35
256,84,10082,6,4,1324477,30,44149.23333333333
256,85,8851,9,10,2728855,46,59322.934782608696
256,86,10812,11,13,3483219,58,60055.5
256,87,6247,12,15,3937400,61,64547.54098360656
256,88,1038,6,3,1167066,30,38902.2
256,89,10532,10,13,3513524,54,65065.25925925926
256,90,15943,13,12,3585118,69,51958.23188405797
256,91,9960,4,1,645067,23,28046.391304347828
256,92,8081,4,1,632509,23,27500.391304347828
256,93,12684,10,14,3575527,50,71510.54
256,94,2888,7,3,1198872,34,35260.94117647059
256,95,2852,9,7,2270381,43,52799.558139534885
256,96,1456,4,2,707403,23,30756.652173913044
256,97,13286,6,3,1196007,30,39866.9
256,98,10964,2,1,394468,16,24654.25
256,99,2852,5,2,871904,28,31139.428571428572
